themes,counter
Adult Cast,117
Anthropomorphic,132
CGDCT,94
Childcare,23
Combat Sports,16
Crossdressing,16
Delinquents,6
Detective,77
Educational,58
Gag Humor,98
Gore,52
Harem,203
High Stakes Game,22
Historical,371
Idols (Female),87
Idols (Male),20
Isekai,52
Iyashikei,89
Love Polygon,31
Magical Sex Shift,6
Mahou Shoujo,86
Martial Arts,131
Mecha,336
Medical,6
Military,193
Music,1046
Mythology,157
Organized Crime,14
Otaku Culture,32
Parody,355
Performing Arts,24
Pets,23
Psychological,136
Racing,70
Reincarnation,4
Reverse Harem,34
Romantic Subtext,10
Samurai,77
School,869
Showbiz,8
Space,121
Strategy Game,133
Super Power,270
Survival,27
Team Sports,97
Time Travel,43
Unknown,3407
Vampire,65
Video Game,36
Visual Arts,42
Workplace,41
